Топшириқлар рўйхати,,,,,,, 28/72,5/20,,,,,
,,,,Маъсул бўлим,Жами,Жараёнда,Муддати бузилган,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
